7,0,8,8,0,6,0,0,1,8,0,14,14,3,8,0,0,9,1
2,1,4,4,1,3,1,0,3,2,1,4,4,1,3,1,0,3,0
4,1,0,0,0,5,0,0,1,4,1,0,0,0,5,0,0,1,0
2,1,4,4,1,4,1,0,3,4,1,4,4,1,6,1,0,3,1
2,1,7,7,1,3,0,0,3,2,1,7,7,1,3,0,0,3,0
4,1,0,0,0,5,0,0,1,5,1,2,2,0,6,0,0,1,0
1,1,6,6,1,3,0,0,7,1,1,9,9,1,3,0,0,9,0
5,0,1,1,0,5,0,0,2,5,0,1,1,0,4,0,0,2,0
4,1,2,2,1,5,0,0,3,5,1,6,6,1,6,0,0,3,0
7,1,14,14,2,7,0,0,6,6,1,14,14,2,7,0,0,6,0
1,2,5,5,1,3,0,0,5,2,2,5,5,1,4,0,0,5,1
1,2,4,4,0,4,0,0,5,3,1,5,5,1,5,0,0,3,1
2,1,4,4,0,3,0,0,5,2,1,4,4,0,3,0,0,5,0
3,1,0,0,0,4,0,0,1,2,1,0,0,0,3,0,0,1,1
1,1,0,0,0,2,0,0,1,1,1,0,0,0,2,0,0,1,1
5,1,4,4,1,16,0,0,10,5,1,5,5,1,16,0,0,8,1
4,3,4,4,0,5,1,0,1,4,3,4,4,0,9,1,0,1,1
4,2,7,7,1,7,0,0,7,4,2,7,7,1,7,0,0,7,0
0,0,0,0,0,1,0,0,5,0,0,0,0,0,1,0,0,5,0
1,0,2,2,0,2,0,0,0,2,0,2,2,0,2,0,0,0,1
8,2,15,15,4,10,0,0,15,8,2,14,14,2,10,0,0,11,1
4,1,4,4,0,5,0,0,1,4,1,4,4,0,5,0,0,1,0
0,3,1,1,0,3,1,0,3,0,3,1,1,0,3,1,0,3,0
2,2,4,4,1,9,0,0,7,2,2,4,4,1,9,0,0,7,0
1,0,0,0,0,2,0,0,0,1,0,0,0,0,2,0,0,0,1
0,1,0,0,0,1,0,0,2,1,1,0,0,0,2,0,0,2,1
2,3,0,0,0,6,1,0,2,1,3,0,0,0,4,1,0,2,0
0,0,1,1,0,0,0,0,1,1,0,3,3,1,1,0,0,4,1
2,1,0,0,0,3,0,2,1,4,1,0,0,0,5,0,2,1,1
5,0,22,22,4,6,0,0,13,5,0,17,17,1,6,0,0,7,1
1,0,1,1,0,2,0,0,0,1,0,1,1,0,2,0,0,0,0
2,1,0,0,1,3,0,0,2,2,1,0,0,1,3,0,0,2,0
6,1,10,10,2,5,0,0,7,6,1,12,12,2,6,0,0,7,1
8,1,14,14,2,9,0,0,5,8,1,14,14,2,9,0,0,5,1
1,2,0,0,0,3,0,2,3,1,2,0,0,0,3,0,2,3,0
3,0,0,0,0,3,0,0,0,3,0,0,0,0,3,0,0,0,0
3,0,4,4,0,4,0,0,1,4,0,4,4,0,5,0,0,3,1
4,1,9,9,1,4,0,0,9,2,1,7,7,1,4,0,0,9,1
1,1,1,1,1,3,0,0,3,1,1,2,2,1,3,0,0,4,0
0,0,18,18,0,0,0,1,3,0,0,25,25,0,0,0,1,3,0
7,1,0,0,2,5,0,0,3,7,1,0,0,2,5,0,0,3,0
8,1,13,13,2,18,0,0,5,8,1,13,13,2,18,0,0,5,0
0,2,7,7,0,3,0,0,6,2,2,4,4,1,5,0,0,5,1
7,1,2,2,1,17,1,0,3,7,1,2,2,1,15,1,0,3,1
2,2,16,16,0,7,0,0,19,2,2,19,19,0,7,0,0,19,1
3,1,0,0,0,4,0,0,1,3,1,0,0,0,4,0,0,1,0
6,2,9,9,1,13,0,0,8,6,2,11,11,1,9,0,0,9,1
6,0,6,6,0,6,0,0,0,6,0,6,6,0,6,0,0,0,0
0,1,0,0,0,1,0,0,2,1,1,1,1,0,2,0,0,2,1
6,2,9,9,1,13,0,0,8,5,2,8,8,1,8,0,0,7,1
4,1,9,9,1,4,0,0,9,2,1,9,9,1,4,0,0,11,1
38,1,2,2,0,7,0,0,1,38,1,2,2,0,7,0,0,1,1
14,3,20,20,3,18,0,0,15,16,3,18,18,3,20,0,0,15,0
4,1,1,1,0,7,0,1,1,3,1,2,2,0,7,0,1,1,1
4,1,8,8,1,8,0,0,12,4,1,8,8,1,10,0,0,12,0
1,0,0,0,0,3,0,0,0,1,0,0,0,0,3,0,0,0,0
6,1,10,10,2,8,0,0,9,6,1,9,9,2,8,0,0,9,0
1,1,6,6,1,3,0,0,7,2,1,8,8,1,4,0,0,7,1
2,2,4,4,1,9,0,0,7,2,2,4,4,1,9,0,0,7,0
4,0,0,0,0,4,0,0,1,4,0,0,0,0,4,0,0,1,0
2,2,4,4,1,7,0,0,6,3,2,7,7,1,8,0,0,10,1
0,5,0,0,0,5,0,0,1,0,5,0,0,0,5,0,0,1,0
5,2,7,7,2,11,0,0,8,5,2,8,8,2,11,0,0,8,0
0,3,9,9,0,3,0,0,16,0,3,9,9,0,3,0,0,16,0
3,2,6,6,3,5,0,0,7,3,2,9,9,3,5,0,0,7,1
1,0,3,3,0,1,0,1,1,3,0,3,3,1,3,0,2,2,1
4,0,5,5,0,4,0,0,0,4,0,5,5,0,4,0,0,0,0
1,0,6,6,1,2,0,0,7,2,0,4,4,1,5,0,1,5,1
5,0,27,27,0,7,0,0,5,5,0,10,10,0,7,0,0,5,0
6,1,2,2,0,7,1,0,1,8,1,0,0,0,9,1,0,1,1
6,1,8,8,1,7,0,1,9,6,1,5,5,1,7,0,1,7,0
3,2,11,11,1,6,0,0,7,6,4,24,24,2,12,0,0,14,1
4,1,13,13,2,6,0,0,7,6,1,7,7,1,7,0,0,5,1
3,0,4,4,0,4,0,0,1,2,0,3,3,0,4,0,0,1,0
1,1,4,4,0,5,0,0,9,1,1,6,6,0,4,0,0,12,1
4,1,3,3,0,6,0,0,1,3,1,7,7,0,6,0,0,1,0
7,3,9,9,2,11,0,0,7,8,3,10,10,3,13,0,0,9,1
5,1,0,0,0,6,0,2,1,5,1,0,0,0,6,0,2,1,0
6,2,9,9,0,12,1,0,3,1,2,4,4,0,5,1,0,3,1
5,3,10,10,2,9,0,0,10,6,3,10,10,2,10,0,0,10,0
2,3,7,7,0,6,0,0,7,2,3,7,7,0,6,0,0,7,1
5,1,2,2,1,16,0,0,3,5,1,2,2,1,16,0,0,3,0
5,1,17,17,0,13,0,0,5,8,1,21,21,0,16,0,0,5,1
13,3,30,30,2,17,0,0,24,11,3,31,31,5,15,0,0,24,1
2,1,7,7,0,4,0,0,5,3,1,9,9,0,5,0,0,5,1
4,1,3,3,0,6,0,0,1,3,1,7,7,0,6,0,0,1,1
7,2,14,14,1,12,0,0,10,5,2,4,4,1,8,0,0,7,1
5,2,7,7,2,11,0,0,8,5,2,7,7,2,11,0,0,8,0
6,1,2,2,0,8,0,0,1,6,1,2,2,0,8,0,0,1,0
6,2,8,8,1,7,0,0,10,5,2,7,7,1,7,0,0,8,0
4,1,0,0,0,5,0,0,1,5,1,0,0,0,6,0,0,1,0
0,0,8,8,0,1,1,0,11,0,0,8,8,0,1,1,0,10,1
2,1,4,4,1,3,1,0,3,3,1,4,4,1,4,1,0,3,0
9,1,11,11,0,6,0,0,1,9,1,4,4,0,6,0,0,1,1
7,2,14,14,1,12,0,0,10,4,2,13,13,2,9,0,0,9,1
4,1,3,3,0,7,1,0,5,3,1,2,2,0,6,1,0,5,1
0,0,52,52,0,0,0,0,52,0,0,52,52,0,0,0,0,52,0
4,0,1,1,0,5,0,0,0,4,0,1,1,0,5,0,0,0,0
13,1,2,2,1,9,0,0,3,12,1,2,2,1,8,0,0,3,0
1,0,0,0,0,1,0,0,0,2,0,0,0,0,2,0,0,0,1
4,3,9,9,0,8,0,0,10,4,3,9,9,0,8,0,0,10,1
8,1,23,23,4,12,0,0,9,8,1,23,23,4,12,0,0,9,0
2,1,1,1,0,4,0,1,1,2,1,1,1,0,4,0,1,1,0
4,1,19,19,1,7,0,0,11,4,1,17,17,1,6,0,0,11,0
8,1,13,13,2,18,0,0,5,8,1,10,10,2,18,0,0,5,1
11,1,43,43,4,13,0,0,21,11,1,46,46,4,13,0,0,23,0
7,1,4,4,2,20,0,0,5,7,1,8,8,2,20,0,0,5,1
3,0,4,4,0,4,0,0,1,3,0,4,4,0,4,0,0,1,0
2,2,4,4,1,9,0,0,7,2,2,4,4,1,9,0,0,7,0
2,1,6,6,1,4,0,0,6,3,1,7,7,1,5,0,0,8,1
3,1,3,3,0,4,0,1,3,3,1,3,3,0,4,0,1,3,0
3,3,5,5,0,6,0,0,7,3,3,6,6,0,6,0,0,9,1
2,2,4,4,0,5,0,0,1,2,2,6,6,0,5,0,0,1,1
7,1,1,1,0,15,0,0,1,7,1,1,1,0,15,0,0,1,0
3,1,2,2,1,6,0,0,3,3,1,8,8,1,5,0,0,5,1
4,1,6,6,0,6,0,0,1,7,1,7,7,0,9,0,0,1,1
2,1,4,4,1,4,1,0,4,2,1,4,4,1,4,1,0,5,1
4,1,4,4,0,5,0,0,1,4,1,4,4,0,5,0,0,1,0
5,0,5,5,0,5,0,0,1,7,0,3,3,0,7,0,0,1,1
2,1,6,6,1,4,0,0,5,3,1,6,6,1,5,0,0,5,1
0,3,4,4,0,5,0,0,3,2,3,6,6,0,7,0,0,3,1
3,2,17,17,1,4,0,0,15,5,2,20,20,3,9,0,0,17,1
2,0,4,4,1,5,0,0,5,2,0,4,4,1,5,0,0,5,0
5,1,22,22,2,6,1,1,17,5,1,22,22,2,6,1,1,17,0
10,1,4,4,0,4,1,0,1,5,1,2,2,0,2,1,0,1,1
2,1,5,5,1,4,0,0,5,2,1,11,11,1,4,0,0,9,1
3,1,11,11,3,4,0,0,9,3,1,6,6,3,4,0,0,9,1
3,1,2,2,1,6,0,0,3,5,1,6,6,1,7,0,0,5,1
2,1,4,4,0,6,0,0,7,3,1,13,13,1,4,0,0,13,1
2,3,7,7,2,6,0,0,5,4,3,6,6,1,7,0,0,3,1
5,1,8,8,2,10,0,0,5,6,1,9,9,2,11,0,0,6,1
1,0,2,2,1,1,0,1,3,1,0,1,1,1,1,0,1,3,1
3,1,2,2,1,4,1,0,3,3,1,2,2,1,4,1,0,3,0
5,1,4,4,2,20,0,0,5,4,1,6,6,2,18,0,0,7,1
0,2,0,0,0,3,0,0,8,0,2,0,0,0,3,0,0,7,0
5,0,27,27,0,7,0,0,5,5,0,27,27,0,7,0,0,5,0
4,1,9,9,1,4,0,0,9,2,1,7,7,1,4,0,0,9,1
2,1,1,1,0,3,1,0,1,2,1,1,1,0,3,1,0,1,0
5,0,27,27,0,7,0,0,5,5,0,27,27,0,7,0,0,5,0
6,0,6,6,0,6,0,0,0,6,0,11,11,0,6,0,0,0,0
1,0,4,4,0,2,0,0,0,1,0,4,4,0,2,0,0,0,0
1,0,9,9,0,2,1,0,13,1,0,9,9,0,2,1,0,13,0
2,2,11,11,1,4,0,0,5,3,2,9,9,1,5,0,0,5,1
2,3,7,7,0,6,0,0,7,2,3,6,6,0,6,0,0,7,1
3,2,5,5,2,10,0,0,7,3,2,5,5,2,10,0,0,7,0
0,0,4,4,2,1,0,0,6,1,0,4,4,2,4,0,0,6,0
4,1,6,6,5,17,0,0,7,8,1,14,14,5,17,0,0,11,1
4,1,1,1,0,6,0,2,1,4,1,1,1,0,6,0,2,1,0
9,2,7,7,0,4,0,0,11,9,2,7,7,0,5,0,0,11,1
7,2,14,14,1,12,0,0,10,7,2,14,14,1,12,0,0,10,0
0,0,7,7,0,1,0,0,0,0,0,4,4,0,1,0,0,0,1
3,0,4,4,0,4,0,0,1,3,0,4,4,0,4,0,0,1,0
6,1,2,2,0,8,0,0,1,6,1,2,2,0,8,0,0,1,0
0,0,1,1,0,0,0,0,1,2,0,1,1,0,2,0,0,1,1
13,1,2,2,1,9,0,0,3,12,1,2,2,1,8,0,0,3,0
8,1,11,11,3,25,0,2,10,8,1,11,11,3,25,0,2,10,0
1,1,7,7,0,5,0,0,7,1,1,7,7,0,5,0,0,7,1
4,1,2,2,1,7,0,0,4,6,1,6,6,2,12,0,0,7,1
1,0,3,3,0,1,0,1,1,2,0,3,3,0,2,0,1,1,0
3,2,11,11,1,6,0,0,7,3,2,11,11,1,6,0,0,7,1
4,1,21,21,0,8,0,0,1,4,1,17,17,0,5,0,0,1,1
8,1,16,16,0,9,0,0,7,8,1,16,16,0,9,0,0,7,0
6,2,9,9,1,13,0,0,8,5,2,9,9,1,12,0,0,8,0
6,0,6,6,0,6,0,0,0,6,0,9,9,1,6,0,0,3,1
6,1,22,22,4,7,0,0,9,6,1,22,22,4,7,0,0,9,0
5,2,10,10,1,8,0,0,11,6,2,13,13,2,9,0,0,13,0
1,1,6,6,1,3,0,0,7,1,1,3,3,1,3,0,0,4,0
1,1,0,0,1,6,0,0,3,2,1,0,0,1,9,0,0,3,1
6,1,2,2,0,7,1,0,1,9,1,4,4,0,10,1,0,1,1
4,0,5,5,0,4,0,0,0,4,0,5,5,0,4,0,0,0,0
1,1,3,3,1,5,0,0,3,1,1,3,3,1,5,0,0,3,0
3,0,4,4,0,3,0,0,0,3,0,4,4,0,3,0,0,0,0
4,1,8,8,2,18,0,0,5,4,1,8,8,2,18,0,0,5,0
2,2,12,12,1,6,0,0,7,2,2,12,12,1,6,0,0,7,1
3,1,6,6,0,6,0,0,7,2,1,7,7,0,6,0,0,7,1
6,1,10,10,2,8,0,0,9,6,1,8,8,2,8,0,0,9,0
1,1,2,2,1,3,0,0,5,1,1,0,0,2,6,0,0,4,1
0,5,0,0,0,5,0,0,1,0,5,0,0,0,5,0,0,1,0
5,1,22,22,2,6,1,1,17,5,1,22,22,2,6,1,1,17,0
1,0,2,2,1,1,0,1,3,1,0,2,2,1,1,0,1,3,1
0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1
0,2,7,7,0,3,0,2,7,1,2,6,6,0,3,0,2,7,1
4,1,2,2,2,5,0,0,4,4,1,2,2,2,5,0,0,4,0
3,1,3,3,1,9,0,0,3,4,1,3,3,2,10,0,0,4,1
4,0,3,3,0,4,0,0,2,4,0,3,3,0,4,0,0,2,0
7,1,26,26,3,9,0,0,11,7,1,24,24,3,9,0,0,9,1
4,1,6,6,1,6,0,0,6,4,1,7,7,1,6,0,0,7,1
2,1,4,4,0,6,0,0,7,2,1,50,50,1,5,0,0,7,1
2,2,11,11,1,4,0,0,5,2,2,9,9,1,4,0,0,5,1
3,0,6,6,1,4,0,2,5,3,0,6,6,1,4,0,1,6,0
38,1,2,2,0,7,0,0,1,38,1,2,2,0,7,0,0,1,0
1,0,3,3,1,6,0,0,3,15,0,3,3,1,7,0,0,3,1
0,1,0,0,0,1,0,0,2,0,1,1,1,0,1,0,0,3,0
2,0,11,11,1,4,0,0,3,2,0,11,11,1,4,0,0,3,0
0,0,8,8,1,1,0,1,2,0,0,8,8,1,1,0,1,2,0
3,1,5,5,4,27,0,0,12,2,1,4,4,2,16,0,0,8,1
1,2,0,0,0,3,0,2,3,3,2,1,1,1,8,0,1,4,1
5,2,7,7,2,11,0,0,8,5,2,7,7,2,12,0,0,8,1
4,0,5,5,0,4,0,0,0,4,0,6,6,0,4,0,0,0,0
3,2,17,17,1,4,0,0,15,3,2,23,23,1,4,0,0,17,1
0,1,2,2,0,7,1,1,3,1,1,2,2,0,7,1,1,3,1
5,2,7,7,2,11,0,0,8,4,2,7,7,1,11,0,0,6,1
0,2,7,7,0,3,0,0,6,0,2,9,9,0,3,0,0,7,1
1,2,4,4,0,4,0,0,5,1,2,4,4,0,4,0,0,5,0
2,2,5,5,1,5,0,0,5,2,2,6,6,1,6,0,0,5,1
2,0,1,1,0,3,0,0,3,2,0,1,1,0,3,0,0,3,0
8,2,15,15,4,10,0,0,15,6,2,13,13,2,8,0,0,9,1
6,0,9,9,0,6,0,0,0,6,0,10,10,0,6,0,0,0,0
2,1,8,8,2,3,0,0,7,2,1,6,6,2,4,0,0,6,1
4,2,7,7,1,7,0,0,7,3,2,9,9,1,6,0,0,9,1
5,1,17,17,0,13,0,0,5,5,1,15,15,0,11,0,0,5,1
2,0,4,4,1,2,0,1,3,2,0,4,4,1,2,0,1,3,0
2,0,1,1,0,3,0,0,3,3,1,3,3,0,6,0,1,5,1
3,0,1,1,0,4,0,0,0,2,0,0,0,0,3,0,0,0,1
1,1,6,6,1,3,0,0,7,1,1,6,6,1,3,0,0,7,0
3,0,4,4,0,3,0,0,0,3,0,4,4,0,3,0,0,0,0
4,1,12,12,2,5,0,0,11,4,1,12,12,2,5,0,0,11,0
5,1,6,6,1,6,0,0,5,5,1,6,6,1,6,0,0,5,0
3,1,12,12,0,4,0,0,3,9,1,12,12,0,10,0,0,3,1
2,0,2,2,1,3,0,1,3,2,0,2,2,1,3,0,1,3,0
0,3,3,3,1,4,0,0,8,0,3,1,1,0,3,0,0,3,1
8,1,5,5,0,14,1,0,1,8,1,5,5,0,16,1,0,1,0
3,1,12,12,2,5,0,0,5,3,1,10,10,2,5,0,0,5,1
0,1,2,2,0,7,1,2,3,0,1,2,2,0,7,1,2,3,0
6,1,6,6,1,4,0,0,7,7,1,7,7,1,6,0,0,8,1
4,0,0,0,0,6,0,0,0,4,0,0,0,0,6,0,0,0,0
1,0,6,6,2,1,0,1,7,1,0,5,5,2,1,0,1,7,0
7,0,8,8,0,6,0,0,1,1,0,2,2,0,1,0,0,1,1
2,0,0,0,0,2,0,0,0,2,0,0,0,0,2,0,0,0,0
35,1,15,15,4,10,0,0,7,37,1,15,15,4,14,0,0,7,1
4,1,4,4,1,5,0,0,4,4,1,3,3,1,5,0,0,4,0
6,2,10,10,1,9,0,0,9,6,2,10,10,1,9,0,0,9,0
2,2,4,4,1,7,0,0,6,3,2,8,8,2,6,0,0,10,1
5,1,7,7,3,11,0,0,7,10,1,16,16,5,14,0,0,15,1
4,0,0,0,0,7,0,0,0,4,0,0,0,0,7,0,0,0,1
2,0,4,4,1,2,0,0,2,2,0,1,1,0,2,0,0,0,1
2,2,4,4,0,5,0,0,1,2,2,4,4,0,5,0,0,1,0
5,1,22,22,2,6,1,1,17,5,1,22,22,2,6,1,1,17,0
0,0,2,2,0,0,0,0,3,0,0,2,2,0,0,0,0,3,1
4,1,4,4,2,9,0,0,5,4,1,4,4,2,9,0,0,5,0
2,2,16,16,0,7,0,0,19,2,2,16,16,0,7,0,0,19,0
5,1,6,6,2,7,0,0,7,5,1,5,5,2,9,0,0,6,0
2,1,1,1,0,3,0,0,3,2,1,0,0,0,3,0,0,1,1
2,3,0,0,0,6,1,0,2,2,3,0,0,0,7,1,0,2,0
3,1,12,12,2,5,0,0,5,5,1,11,11,2,6,0,0,5,1
2,1,8,8,2,3,0,0,7,3,1,15,15,2,4,0,0,13,1
4,3,4,4,0,5,1,0,1,4,3,4,4,0,9,1,0,1,1
9,1,11,11,0,6,0,0,1,9,1,11,11,0,6,0,0,1,0
6,0,6,6,0,6,0,0,0,6,0,21,21,1,6,0,0,3,0
0,1,2,2,1,8,0,0,7,0,1,2,2,1,8,0,0,7,0
1,1,3,3,0,4,0,0,1,1,1,6,6,0,4,0,0,5,1
3,0,0,0,0,3,0,0,0,3,0,3,3,2,4,0,0,5,1
0,1,1,1,1,2,0,1,4,0,1,1,1,1,2,0,1,5,1
5,1,16,16,1,6,0,0,9,5,1,7,7,2,19,0,0,7,1
3,1,5,5,1,5,0,0,5,3,1,5,5,1,5,0,0,5,1
7,1,1,1,0,9,0,0,1,7,1,1,1,0,8,0,0,1,1
3,2,12,12,2,6,0,0,11,4,2,9,9,2,7,0,0,11,1
5,1,21,21,3,5,0,0,10,17,1,20,20,3,6,0,0,10,1
0,1,2,2,0,4,0,0,3,1,1,2,2,0,3,0,0,3,1
3,1,1,1,0,4,0,0,1,3,1,1,1,0,4,0,0,1,0
1,1,11,11,0,4,0,0,26,0,1,8,8,0,5,0,0,11,1
3,1,3,3,1,6,1,0,3,3,1,3,3,1,6,1,0,3,0
2,1,1,1,0,5,0,0,3,3,1,1,1,1,7,0,0,4,1
6,1,16,16,2,8,0,0,11,6,1,14,14,2,8,0,0,9,0
4,0,3,3,0,4,0,0,2,4,0,3,3,0,4,0,0,2,0
2,0,1,1,1,3,0,0,2,2,0,1,1,1,3,0,0,2,0
1,0,0,0,0,3,0,0,0,1,0,0,0,0,3,0,0,0,0
5,2,7,7,2,11,0,0,8,5,2,7,7,2,11,0,0,8,0
2,2,4,4,1,9,0,0,7,2,2,4,4,1,13,0,0,7,1
2,1,9,9,2,4,0,0,9,2,1,9,9,2,4,0,0,9,0
4,0,3,3,0,4,0,0,1,4,0,3,3,0,4,0,0,1,0
6,1,6,6,1,4,0,0,7,6,1,14,14,1,7,0,0,15,1
1,2,0,0,0,5,0,2,2,2,2,0,0,0,6,0,2,2,0
2,1,20,20,0,6,0,0,5,2,1,17,17,0,8,0,0,5,0
1,1,0,0,0,2,0,1,1,1,1,0,0,0,2,0,1,1,0
6,1,2,2,0,8,0,0,1,6,1,2,2,0,8,0,0,1,0
0,3,5,5,0,3,0,0,9,0,3,5,5,0,3,0,0,9,0
4,1,3,3,0,6,0,0,1,3,1,6,6,0,5,0,0,1,0
2,2,12,12,1,6,0,0,7,2,2,12,12,1,6,0,0,7,1
2,2,4,4,1,9,0,0,7,2,2,4,4,1,9,0,0,7,0
6,1,12,12,6,7,0,0,13,6,1,12,12,6,7,0,0,13,0
2,2,4,4,1,7,0,0,6,4,2,9,9,1,7,0,0,9,1
7,1,13,13,2,9,0,0,5,5,2,13,13,2,9,0,0,5,1
0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,1
4,1,6,6,1,6,0,0,6,4,1,7,7,1,6,0,0,7,1
1,0,0,0,0,3,0,0,0,2,0,0,0,0,4,0,0,0,1
2,0,1,1,0,3,0,0,3,2,0,1,1,0,4,0,1,3,1
8,1,0,0,0,9,0,0,1,9,1,0,0,0,10,0,0,1,1
1,0,3,3,1,3,0,0,4,1,2,5,5,2,7,0,0,8,0
7,1,0,0,2,5,0,0,3,7,1,0,0,2,5,0,0,3,0
7,3,6,6,1,12,0,0,7,7,3,6,6,1,12,0,0,7,0
3,2,8,8,1,7,0,0,6,2,2,2,2,0,6,0,0,4,1
3,2,5,5,2,10,0,0,7,2,2,8,8,2,6,0,0,8,1
6,1,2,2,0,8,0,0,1,6,1,2,2,0,8,0,0,1,0
6,1,7,7,2,7,0,0,5,6,1,8,8,3,8,0,0,6,0
35,1,15,15,4,10,0,0,7,37,1,15,15,4,14,0,0,7,1
0,0,1,1,0,0,0,0,0,1,0,1,1,0,1,0,0,0,1
1,0,4,4,0,2,0,0,0,2,0,4,4,0,3,0,0,0,0
5,1,17,17,0,13,0,0,5,5,1,17,17,0,13,0,0,5,0
6,1,6,6,1,4,0,0,7,6,1,6,6,1,4,0,0,7,0
3,1,3,3,1,8,0,0,3,3,1,3,3,1,8,0,0,3,0
1,0,2,2,1,1,0,1,3,1,0,2,2,1,1,0,1,3,0
8,1,0,0,0,13,0,0,1,4,1,0,0,0,7,0,0,1,1
2,1,3,3,1,4,0,0,7,2,1,3,3,1,4,0,0,7,0
1,0,0,0,0,3,0,0,0,1,0,1,1,0,4,0,0,1,0
5,1,17,17,0,13,0,0,5,4,1,18,18,0,11,0,0,5,0
4,0,3,3,0,4,0,0,2,4,0,3,3,0,4,0,0,2,0
0,1,0,0,0,1,0,0,6,0,1,4,4,0,1,0,0,9,1
2,1,5,5,1,3,0,0,5,2,1,5,5,1,3,0,0,5,0
5,2,7,7,2,11,0,0,8,4,2,7,7,1,10,0,0,6,1
5,1,25,25,0,8,0,0,3,5,1,25,25,0,8,0,0,3,0
6,1,15,15,2,6,0,0,7,7,1,15,15,2,8,0,0,9,1
4,1,0,0,1,6,1,0,2,4,1,0,0,1,6,1,0,2,0
3,0,1,1,0,3,0,0,1,3,0,1,1,0,3,0,0,1,0
1,1,6,6,1,3,0,0,7,2,1,9,9,1,3,0,0,7,1
1,1,3,3,0,4,0,0,1,1,1,3,3,0,4,0,0,1,0
2,1,5,5,1,4,0,0,5,2,1,9,9,1,4,0,0,7,1
4,3,11,11,3,7,0,0,11,4,3,13,13,3,7,0,0,11,0
3,1,1,1,0,4,0,1,4,3,1,1,1,0,4,0,1,4,0
6,1,2,2,0,8,0,0,1,6,1,2,2,0,8,0,0,1,0
2,1,9,9,2,4,0,0,9,2,1,9,9,2,4,0,0,9,0
8,1,0,0,0,13,0,0,1,10,1,0,0,0,15,0,0,1,1
3,1,6,6,0,4,0,0,5,5,1,7,7,0,6,0,0,5,1
3,1,6,6,0,6,0,0,7,5,1,5,5,0,8,0,0,7,1
3,1,12,12,0,4,0,0,3,3,1,12,12,0,4,0,0,3,0
5,1,17,17,0,13,0,0,5,11,1,31,31,0,25,0,0,5,1
1,1,2,2,1,3,0,0,5,2,1,2,2,1,3,0,0,4,1
2,2,5,5,0,5,0,0,3,2,2,5,5,0,5,0,0,3,0
6,1,8,8,1,7,0,1,9,6,1,8,8,1,7,0,1,9,0
0,2,2,2,1,2,0,0,4,0,2,4,4,0,2,0,0,4,1
2,0,3,3,3,16,0,0,7,5,0,5,5,3,19,0,0,7,1
6,1,2,2,0,8,0,0,1,6,1,2,2,0,8,0,0,1,0
6,1,6,6,1,4,0,0,7,6,1,13,13,1,7,0,0,7,0
4,1,0,0,0,6,0,0,1,4,1,0,0,0,6,0,0,1,0
31,1,0,0,0,11,0,0,1,31,1,0,0,0,11,0,0,1,0
1,1,3,3,1,5,0,0,3,1,1,3,3,1,5,0,0,3,0
3,1,9,9,2,4,0,0,9,3,1,10,10,2,4,0,0,9,0
0,1,2,2,0,1,0,1,1,1,1,2,2,0,2,0,1,1,1
19,1,0,0,1,27,0,0,2,19,1,0,0,1,27,0,0,2,0
2,1,4,4,1,11,0,0,8,4,1,6,6,1,12,0,0,9,1
4,2,7,7,1,7,0,0,7,4,2,7,7,1,7,0,0,7,0
6,0,1,1,1,25,0,0,6,6,0,1,1,1,25,0,0,6,0
1,0,2,2,0,1,0,0,1,1,0,2,2,0,1,0,0,1,1
3,0,5,5,0,3,0,0,1,4,1,15,15,0,6,0,0,3,1
3,1,3,3,1,8,0,0,3,3,1,3,3,1,8,0,0,3,0
0,2,0,0,0,4,1,1,1,2,2,0,0,0,6,1,1,1,1
6,1,1,1,0,7,0,1,1,6,1,1,1,0,7,0,1,1,0
4,2,12,12,0,9,0,0,12,0,2,27,27,0,3,0,0,29,1
3,1,3,3,1,6,1,0,3,3,1,3,3,1,6,1,0,3,0
0,1,7,7,0,1,0,0,5,3,1,5,5,1,4,0,0,5,1
3,1,3,3,0,4,0,1,3,3,1,3,3,0,4,0,1,3,0
1,1,3,3,1,5,0,0,3,1,1,3,3,1,5,0,0,3,0
5,0,27,27,0,7,0,0,5,5,0,27,27,0,7,0,0,5,0
2,1,4,4,1,3,1,0,3,4,1,4,4,1,5,1,0,3,0
4,1,3,3,1,5,0,0,3,4,1,3,3,1,5,0,0,3,1
5,1,4,4,1,7,1,0,5,5,1,4,4,1,7,1,0,5,0
2,1,4,4,1,3,1,0,5,2,1,4,4,1,3,1,0,5,0
3,2,9,9,3,18,0,0,11,4,2,3,3,0,7,0,0,3,1
1,3,25,25,3,5,0,0,17,1,3,24,24,3,5,0,0,17,0
0,0,0,0,0,1,0,0,5,0,0,0,0,0,1,0,0,5,0
4,1,9,9,1,4,0,0,9,4,1,9,9,1,6,0,0,10,1
0,1,3,3,0,1,0,1,1,0,1,3,3,0,1,0,1,1,0
5,1,4,4,1,16,0,0,10,5,1,8,8,1,14,0,0,13,1
5,2,10,10,1,8,0,0,11,5,2,10,10,1,8,0,0,11,0
0,1,12,12,0,1,0,0,9,0,1,14,14,0,1,0,0,9,1
2,0,9,9,3,7,0,0,10,2,1,4,4,0,3,0,0,6,1
3,0,0,0,0,5,0,0,0,3,0,0,0,0,5,0,0,0,0
4,1,7,7,1,5,0,2,9,4,1,7,7,1,5,0,1,9,0
